dataset,task_type,alpha,performance_val,fairness_val,performance_test,fairness_test,model_classpath,hyperparameters,class_ratio,model_config_uuid,model_uuid,si,i,ni,ri,target_threshold,tuner
Adult,Hyperband,0.5,0.8391,0.9791799999999999,0.8405,0.99269,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005772108666418019, 'model__dropout': 0.2654357972358839, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,8bb498dfa52ee77d1713edcfd4e1afc9,aa1298506f79b85ef9fc43a2432a5f74,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,Hyperband,1,0.9935700000000001,0.51336,0.9878899999999999,0.51356,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 241, 'min_samples_leaf': 21, 'min_samples_split': 61}",,709495cd081d9b42c59bcce5dcc168bc,c1ceec208e092544273868d4640ed1b0,4.0,3.0,3.0,33.333,tpr = 50,HB
Adult,RandomSearch,0.5,0.8649399999999999,0.88331,0.8777200000000001,0.89984,lightgbm.LGBMClassifier,"{'max_depth': 30, 'num_leaves': 45, 'n_estimators': 2888, 'boosting_type': 'goss', 'learning_rate': 0.22156475946334245, 'min_child_samples': 67}",,4f07de9f07360b5029d4e95f3c26d300,7f647a6311500f13171be8d9f172eb28,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,0.5,0.9399200000000001,0.98531,0.94027,0.9335200000000001,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0010563389934600729, 'model__dropout': 0.35525987681203025, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,3f668339a35a1c47ead369344e28289e,8e91020763b5b14c5fbd26f4fff1c123,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB
Adult,RandomSearch,0.5,0.9402799999999999,0.7384,0.94595,0.74598,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 28, 'min_samples_leaf': 4, 'min_samples_split': 11}",,a451b17dc7d078789eab93f9dfd8778d,d46cec66696ad705581e94e35fbf292e,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,0.5,0.9596299999999999,0.8199200000000001,0.96935,0.81095,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 17, 'min_samples_leaf': 9, 'min_samples_split': 8}",,a5c20c352f8776d0908483e5c580e4f2,4301a2ecdcb4effac4d94f3570703e91,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,1,0.99397,0.57718,0.99198,0.58933,lightgbm.LGBMClassifier,"{'max_depth': 20, 'num_leaves': 44, 'n_estimators': 1307, 'boosting_type': 'goss', 'learning_rate': 0.015194698437002585, 'min_child_samples': 7}",,2b0e0e1a814e982de057d0786be8f270,a8b647678ec3c3f02409e25b875c3a5b,,,,100.0,tpr = 50,RS
Adult,Hyperband,1,0.99477,0.54618,0.98879,0.5528,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 127, 'min_samples_leaf': 2, 'min_samples_split': 13}",,b81df11d65a7cb943ba3a92ed85ca3e3,c00369bd9e496c05e645fb193e028356,3.0,2.0,3.0,33.333,tpr = 50,HB
Adult,Hyperband,1,0.99397,0.5452899999999999,0.9907600000000001,0.5472899999999999,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 697, 'min_samples_leaf': 4, 'min_samples_split': 17}",,9afcf5ef1bc778bf2eb1e7f9b7a5df97,b10db13304bb5369928ceebb352d55e4,4.0,4.0,1.0,100.0,tpr = 50,HB
Adult,RandomSearch,1,0.9935700000000001,0.51927,0.9902299999999999,0.53049,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 22, 'min_samples_leaf': 11, 'min_samples_split': 17}",,a1a49cc3b9c29f00ab2ae159375bdb0b,cd80b5be489359fe696f0a6f138feac6,,,,100.0,tpr = 50,RS
Adult,Hyperband,0.5,0.9574,0.8418399999999999,0.9545,0.80061,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0013735579087421114, 'model__dropout': 0.24392726388307295, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,1b99a27533164029bccaefca4d0bee82,38af79851ea6b752e16878babc0b4fe5,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB
Adult,RandomSearch,1,0.9931700000000001,0.53387,0.9906,0.5396,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 22, 'max_features': 'log2', 'n_estimators': 896, 'min_samples_leaf': 2, 'min_samples_split': 8}",,29ca012107c395bc6768ffb33f0be9c1,31b91688c9fc5f2fea05fa9255862973,,,,100.0,tpr = 50,RS
Adult,RandomSearch,0.5,0.9717,0.67205,0.97315,0.7401399999999999,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 18, 'min_samples_leaf': 1, 'min_samples_split': 50}",,3d423422bad4a7b04ffaef6ccd95e014,c404c71322d887dc239dd7c58e4c2023,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,dynamic,0.95114,0.935,0.94737,0.87941,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0012917366531262808, 'model__dropout': 0.1508537401127339, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,ed85b3fd0eb9fa2948181bedbcd82d23,af3914e23e13093e824bb9b99ff63c70,4.0,0.0,81.0,1.235,tpr = 50,FB-auto
Adult,RandomSearch,0.5,0.92863,0.80391,0.93253,0.80592,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 23, 'min_samples_leaf': 1, 'min_samples_split': 7}",,3d004e14faccb1ed5f7b248bf73392c5,ae76ae9f26fb366682c8c6aae605b89e,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,1,0.99397,0.5304,0.98961,0.53827,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 274, 'min_samples_leaf': 3, 'min_samples_split': 11}",,26bac83b03b02211e85698ab1f4111f6,c717aac4a62f03294ea06cdd86b83efe,4.0,3.0,3.0,33.333,tpr = 50,HB
Adult,RandomSearch,1,0.99397,0.54707,0.99044,0.55687,lightgbm.LGBMClassifier,"{'max_depth': 42, 'num_leaves': 194, 'n_estimators': 531, 'boosting_type': 'goss', 'learning_rate': 0.03613338653543544, 'min_child_samples': 73}",,a2c97dd39c3970f16e7508fa1d98ba9c,2661042b6178f5f551a03e89978610f3,,,,100.0,tpr = 50,RS
Adult,RandomSearch,0.5,0.9736100000000001,0.76788,0.9734799999999999,0.73245,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0008474894129774051, 'model__dropout': 0.11053503314865996, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,e23075a58961900c820d6c4370c62592,2ab58a2149343a59f7af412c04a42c8d,,,,100.0,tpr = 50,FairRS
