index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_poverty_level_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
170,91b249c337937dc48b614bfd6625c807,9a13fd1e52fd388018da821bf5e43089,0.612,ac04efa014f7834d5576d7af2b925dec,f9d7de62e019837abced724f64c9b86e,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'max_features': 'sqrt', 'n_estimators': 213, 'min_samples_leaf': 6, 'min_samples_split': 13}",,Hyperband,3.0,3.0,1.0,100.0,0.612,0.31087,{'alpha': 1},validation,pp = 1000,0.612,0.31087,1,1.0,HB,0.529,0.40901,Donors Choose,precision,poverty_level_min_tpr_disparity
126,91b249c337937dc48b614bfd6625c807,9bee01be301fd4c2f5c04763b34e8f62,0.68644,fbb6d59bda5bc19446b8ac3bbd9561da,d31951febfc143e87eb08e0f56d33965,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 164, 'n_estimators': 2197, 'boosting_type': 'goss', 'learning_rate': 0.022683964182704228, 'min_child_samples': 102}",,Hyperband,3.0,0.0,34.0,3.704,0.572,0.92666,{'alpha': 'dynamic'},validation,pp = 1000,0.572,0.92666,dynamic,0.037,FB,0.523,0.93611,Donors Choose,precision,poverty_level_min_tpr_disparity
191,91b249c337937dc48b614bfd6625c807,a0f75703064b2ee91dbd197b96e7686e,0.614,464feaff7e10c3df1de56340e3f9c7a5,009befd9dfb1c25e843189b7e84e56dd,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'n_estimators': 199, 'min_samples_leaf': 7, 'min_samples_split': 13}",,Hyperband,2.0,2.0,1.0,100.0,0.614,0.277,{'alpha': 1},validation,pp = 1000,0.614,0.277,1,1.0,HB,0.545,0.31139,Donors Choose,precision,poverty_level_min_tpr_disparity
82,91b249c337937dc48b614bfd6625c807,a1e2b2699123fd0f4131d52df4c119b1,0.66681,6b67b474625723fcf499c51315fe738d,ef68454eb83d71899734232146e9bec0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0011865198930535237, 'model__dropout': 0.35033195821836416, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.544,0.97775,{'alpha': 'dynamic'},validation,pp = 1000,0.544,0.97775,dynamic,0.037,FB,0.492,0.91094,Donors Choose,precision,poverty_level_min_tpr_disparity
5,91b249c337937dc48b614bfd6625c807,a63ab57d424491d514fac0fe69999c4a,0.73235,2789a7948961535a2af8897c5e1fd392,e34b489cc0fa37503369da2231df08af,sklearn.linear_model.LogisticRegression,"{'C': 0.001, 'tol': 0.008381143298807011, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 2417}",,RandomSearch,,,,100.0,0.527,0.93769,{'alpha': 0.5},validation,pp = 1000,0.527,0.93769,0.5,,RS (alpha=0.5),0.508,0.79055,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,a6fbc1b0fb118514f30511149597742a,0.615,8df947bbdc4c723442bd06fb818900ab,e30e1d7ed7b76bfc96c9062e7b8e825b,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 155, 'min_samples_leaf': 5, 'min_samples_split': 41}",,RandomSearch,,,,100.0,0.615,0.26856,{'alpha': 1},validation,pp = 1000,0.615,0.26856,1,,RS,0.523,0.33898,Donors Choose,precision,poverty_level_min_tpr_disparity
10,91b249c337937dc48b614bfd6625c807,aabe8bcfd3f63ccb59ca32ec50062d45,0.74247,2701c2fecd8e704a12318b5593b427ec,d2de8f3382a40075ecb02c48f2ac418e,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0013506802577441107, 'model__dropout': 0.05767434331871586, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.545,0.93993,{'alpha': 0.5},validation,pp = 1000,0.545,0.93993,0.5,,RS (alpha=0.5),0.507,0.8656,Donors Choose,precision,poverty_level_min_tpr_disparity
71,91b249c337937dc48b614bfd6625c807,abe7bed96699ec0bd4b1f4979eb8321e,0.654,16dd68c42bf133751e6ad014d36f2a49,7742fd0775c276281718f2762b99c20d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0009172497627241963, 'model__dropout': 0.11899343262161613, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.53,0.98527,{'alpha': 'dynamic'},validation,pp = 1000,0.53,0.98527,dynamic,0.0123,FB,0.507,0.93667,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,af885ad3b8203b167af9c5c4492ace5d,0.613,99165afacb113871add6f39c59f0f56d,478ff17837e6dbd46d31a34b364c1cf0,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'log2', 'n_estimators': 572, 'min_samples_leaf': 7, 'min_samples_split': 19}",,Hyperband,3.0,3.0,1.0,100.0,0.613,0.2723,{'alpha': 1},validation,pp = 1000,0.613,0.2723,1,1.0,HB,0.543,0.30688,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,b0a144d43de953acb372e98e5177f4d1,0.607,7d9f681c6f2b560068302a677c151320,00b724d1db049fda42f76a729fed84de,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 319, 'min_samples_leaf': 14, 'min_samples_split': 58}",,RandomSearch,,,,100.0,0.607,0.25473,{'alpha': 1},validation,pp = 1000,0.607,0.25473,1,,RS,0.534,0.33909,Donors Choose,precision,poverty_level_min_tpr_disparity
