index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_sex_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
7,2dd35f877805972a5bef858efd2bfb0d,589420a2f52ef54593aa48a28cae8835,0.92497,66f05abb4a059d2807500a443d8818d3,ed30b644ca3e811bc65c8693f7eb3802,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000593349282344002, 'model__dropout': 0.03545298251467149, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0}",,Hyperband,4.0,0.0,81.0,1.235,0.86798,0.98196,{'alpha': 0.5},validation,tpr = 50,0.86798,0.98196,0.5,0.0123,FB (alpha=0.5),0.86762,0.96397,Adult,precision,sex_min_tpr_disparity
8,2dd35f877805972a5bef858efd2bfb0d,6041469f00dd69e411fc77266f33460f,0.83445,0db9186ed976f5dcda254972409c6341,7e08c93a3c559983b28fd03bdc0ea11a,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 2, 'min_samples_split': 4}",,RandomSearch,,,,100.0,0.96449,0.7044,{'alpha': 0.5},validation,tpr = 50,0.96449,0.7044,0.5,,RS (alpha=0.5),0.95951,0.7324,Adult,precision,sex_min_tpr_disparity
33,2dd35f877805972a5bef858efd2bfb0d,60f6da95750fe5df080a279ef2b17f2e,0.94087,990891aef102c40cb5435f20e732dedc,c8f5343743ad2a6848a518a97d40df2d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0009755653719106299, 'model__dropout': 0.15620408197531815, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.93885,0.9429,{'alpha': 0.5},validation,tpr = 50,0.93885,0.9429,0.5,0.0123,FB (alpha=0.5),0.93341,0.88025,Adult,precision,sex_min_tpr_disparity
83,2dd35f877805972a5bef858efd2bfb0d,63c5f8b9ccfcbb9c7f5b02874dd1a5e7,0.95416,bc63f525a91c98a8ef1d22bfcc5a9f48,9e6f762ceb5155029415e3d4b3f77968,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0008882933101096386, 'model__dropout': 0.034609695666153684, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,4.0,1.0,27.0,3.704,0.93565,0.97416,{'alpha': 'dynamic'},validation,tpr = 50,0.93565,0.97416,dynamic,0.037,FB,0.9256,0.96796,Adult,precision,sex_min_tpr_disparity
202,2dd35f877805972a5bef858efd2bfb0d,649cb77a54dac41b13e6f8d650157e9a,0.99437,4328099882ef8db4ae10c4c8cfd75385,c5b008c232c04a7abc23356bf4096ab0,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 666, 'min_samples_leaf': 1, 'min_samples_split': 22}",,Hyperband,0.0,0.0,5.0,100.0,0.99437,0.54618,{'alpha': 1},validation,tpr = 50,0.99437,0.54618,1,1.0,HB,0.98998,0.54568,Adult,precision,sex_min_tpr_disparity
32,2dd35f877805972a5bef858efd2bfb0d,650f178968e980d8fda12f36dabf36c4,0.94473,f083cea99b4e6c7a12c72cbd7a28caca,d0c950682a7bb7310733385f618d3ef4,lightgbm.LGBMClassifier,"{'max_depth': 12, 'num_leaves': 225, 'n_estimators': 136, 'boosting_type': 'goss', 'learning_rate': 0.42717020491816193, 'min_child_samples': 28}",,Hyperband,4.0,0.0,81.0,1.235,0.95004,0.93953,{'alpha': 'dynamic'},validation,tpr = 50,0.95004,0.93953,dynamic,0.0123,FB,0.95874,0.87511,Adult,precision,sex_min_tpr_disparity
21,2dd35f877805972a5bef858efd2bfb0d,6c038f32835ce34c735c653f58466157,0.99357,dbf7eba4e13706b5c3da43e53c250e85,5e6bd229181bb5a2003585c50e858faa,lightgbm.LGBMClassifier,"{'max_depth': 95, 'num_leaves': 10, 'n_estimators': 3464, 'boosting_type': 'gbdt', 'learning_rate': 0.019498381951988542, 'min_child_samples': 15}",,RandomSearch,,,,100.0,0.99357,0.5633,{'alpha': 1},validation,tpr = 50,0.99357,0.5633,1,,RS,0.99108,0.58097,Adult,precision,sex_min_tpr_disparity
132,2dd35f877805972a5bef858efd2bfb0d,6e50f4d53f3575487373499bacd32281,0.87396,32eec32d5df9caa8b7fca65275265fc3,95807a83edd597dfe86b53280abd3082,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0010560649781841125, 'model__dropout': 0.36616058020535447, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.82017,0.94279,{'alpha': 'dynamic'},validation,tpr = 50,0.82017,0.94279,dynamic,0.037,FB,0.82358,0.98663,Adult,precision,sex_min_tpr_disparity
131,2dd35f877805972a5bef858efd2bfb0d,6e95d7eb82d7b2f412e420441ed2a43f,0.92029,bd61de41e4915e0a562633c030ceaa4f,2341e9dfb311c92a8aca66d3e005068b,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0007945266239669601, 'model__dropout': 0.2999112226272281, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.94279,0.89966,{'alpha': 'dynamic'},validation,tpr = 50,0.94279,0.89966,dynamic,0.037,FB,0.93966,0.83823,Adult,precision,sex_min_tpr_disparity
86,2dd35f877805972a5bef858efd2bfb0d,719e546ca0f04dbc62f6ef76211cfa7c,0.93993,d65984282379cc07fe334ca165c4be2f,bbdf64751cb469a17349fc75be11602f,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0010414205176275933, 'model__dropout': 0.10059077948275288, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.89956,0.9803,{'alpha': 0.5},validation,tpr = 50,0.89956,0.9803,0.5,0.037,FB (alpha=0.5),0.89389,0.92448,Adult,precision,sex_min_tpr_disparity
